ID	NAME	TRADEDATE	OPEN	HIGH	LOW	CLOSE	VALUE	DURATION	YIELD
IMOEX	MOEX Russia Index	2022-03-25	2620,62	2664,74	2470,69	2484,13	49167284761,2	0	0
IMOEX	MOEX Russia Index	2022-03-28	2479,49	2484,57	2407,2	2430,7	25937057002,85	0	0
IMOEX	MOEX Russia Index	2022-03-29	2442,43	2538,2	2363,62	2408,49	59068848968,85	0	0
IMOEX	MOEX Russia Index	2022-03-30	2437,92	2513,03	2437,92	2513,03	39721405988,35	0	0
IMOEX	MOEX Russia Index	2022-03-31	2535,32	2703,51	2533,39	2703,51	80017047214,7	0	0
IMOEX	MOEX Russia Index	2022-04-01	2714,62	2817,72	2714,62	2759,64	77972322862,8	0	0
IMOEX	MOEX Russia Index	2022-04-04	2775,06	2835,46	2682,34	2787,69	67754307203,25	0	0
IMOEX	MOEX Russia Index	2022-04-05	2796,56	2808,27	2576,34	2662,79	68532631919,2	0	0
IMOEX	MOEX Russia Index	2022-04-06	2641,79	2696,97	2594,95	2611,43	45527445852,1	0	0
IMOEX	MOEX Russia Index	2022-04-07	2618,26	2653,85	2618,26	2635,39	33674118545,4	0	0
IMOEX	MOEX Russia Index	2022-04-08	2649,16	2656,72	2554,72	2592,72	30923457083,65	0	0
IMOEX	MOEX Russia Index	2022-04-11	2596,17	2623,64	2557,16	2557,16	26788780551,25	0	0
IMOEX	MOEX Russia Index	2022-04-12	2559,22	2570,78	2472,28	2540,99	33176929301,85	0	0
IMOEX	MOEX Russia Index	2022-04-13	2546,64	2558,86	2517,44	2528,42	19008934214,15	0	0
IMOEX	MOEX Russia Index	2022-04-14	2530,9	2533,77	2403,86	2404,73	24317562706,85	0	0
IMOEX	MOEX Russia Index	2022-04-15	2403,16	2431,91	2353,13	2424,99	24555619329,9	0	0
IMOEX	MOEX Russia Index	2022-04-18	2430,91	2447,58	2338,36	2342,63	23242744263,95	0	0
IMOEX	MOEX Russia Index	2022-04-19	2342,53	2344,37	2216,61	2317,46	35589597026,4	0	0
IMOEX	MOEX Russia Index	2022-04-20	2326,03	2374,87	2271,72	2330,73	34640809161,75	0	0
IMOEX	MOEX Russia Index	2022-04-21	2334,97	2341,21	2260,68	2271,05	28368978164,55	0	0
IMOEX	MOEX Russia Index	2022-04-22	2271,18	2290,04	2223,73	2232,23	32280692497,9	0	0
IMOEX	MOEX Russia Index	2022-04-25	2236,32	2237,45	2168,18	2186,22	22521850031,3	0	0
IMOEX	MOEX Russia Index	2022-04-26	2190,97	2347,92	2190,97	2318,46	42976151804,4	0	0
IMOEX	MOEX Russia Index	2022-04-27	2326,27	2427,47	2305,47	2424,28	48952158762,7	0	0
IMOEX	MOEX Russia Index	2022-04-28	2434,86	2505,94	2379,12	2383,66	60911768321,75	0	0
IMOEX	MOEX Russia Index	2022-04-29	2390,83	2448,52	2390,83	2445,17	41353794398,65	0	0
IMOEX	MOEX Russia Index	2022-05-04	2444,25	2464,6	2373,16	2373,16	25945992882,25	0	0
IMOEX	MOEX Russia Index	2022-05-05	2379,04	2412,81	2379,04	2404,8	17342318812,95	0	0
IMOEX	MOEX Russia Index	2022-05-06	2405,17	2406,78	2372,52	2393,03	18005651254,65	0	0
IMOEX	MOEX Russia Index	2022-05-11	2391,91	2414,87	2367,48	2387,14	18772686042,2	0	0
IMOEX	MOEX Russia Index	2022-05-12	2382,33	2386,16	2283,31	2297,89	22770570603,55	0	0
IMOEX	MOEX Russia Index	2022-05-13	2309,98	2321,91	2283,1	2307,5	15604714548	0	0
IMOEX	MOEX Russia Index	2022-05-16	2308,2	2379,35	2306,06	2364,6	25869494279,5	0	0
IMOEX	MOEX Russia Index	2022-05-17	2378,08	2425,17	2371,93	2424,1	35173701855,45	0	0
IMOEX	MOEX Russia Index	2022-05-18	2438	2490,17	2438	2445,3	42157561625,15	0	0
IMOEX	MOEX Russia Index	2022-05-19	2454,36	2454,83	2414,63	2436,57	23142918171,25	0	0
IMOEX	MOEX Russia Index	2022-05-20	2441,56	2451,02	2365,81	2373,26	26154389699,35	0	0
IMOEX	MOEX Russia Index	2022-05-23	2379,66	2389,42	2300,77	2301,85	25254453193	0	0
IMOEX	MOEX Russia Index	2022-05-24	2300,11	2317,92	2229,22	2293,62	34493860692,9	0	0
IMOEX	MOEX Russia Index	2022-05-25	2300,15	2340,18	2291,13	2340,18	28631752004,9	0	0
IMOEX	MOEX Russia Index	2022-05-26	2348,44	2415,03	2327,29	2413,06	64356904664,25	0	0
IMOEX	MOEX Russia Index	2022-05-27	2424,7	2439,89	2399,92	2407,59	34678510445,75	0	0
IMOEX	MOEX Russia Index	2022-05-30	2418,21	2433,04	2376,44	2400,39	27385294017,35	0	0
IMOEX	MOEX Russia Index	2022-05-31	2400,75	2400,75	2351,74	2355,75	20607741318,75	0	0
IMOEX	MOEX Russia Index	2022-06-01	2349,84	2385,64	2338,9	2374,6	23159339655,75	0	0
IMOEX	MOEX Russia Index	2022-06-02	2374,67	2382,23	2337,53	2340,17	25936157830,6	0	0
IMOEX	MOEX Russia Index	2022-06-03	2341,55	2348,03	2286,82	2308,03	36640803131,35	0	0
IMOEX	MOEX Russia Index	2022-06-06	2308,35	2321,75	2277,21	2282,16	23466169598,8	0	0
IMOEX	MOEX Russia Index	2022-06-07	2281,3	2294,4	2239,72	2291,62	24673602866,25	0	0
IMOEX	MOEX Russia Index	2022-06-08	2296,62	2342,69	2296,62	2318,85	33948819398,5	0	0
IMOEX	MOEX Russia Index	2022-06-09	2321,57	2323,39	2275,22	2293,99	24767087945,6	0	0
IMOEX	MOEX Russia Index	2022-06-10	2282,81	2296,1	2273,95	2285,52	22155213875,5	0	0
IMOEX	MOEX Russia Index	2022-06-14	2280,02	2308,43	2261,26	2289,75	30573074781,2	0	0
IMOEX	MOEX Russia Index	2022-06-15	2290,76	2320,4	2282,79	2318,96	31609602711,5	0	0
IMOEX	MOEX Russia Index	2022-06-16	2321,52	2374,24	2317,87	2369,75	35239559797,15	0	0
IMOEX	MOEX Russia Index	2022-06-17	2373,07	2382,49	2345,4	2353,98	21840774908,95	0	0
IMOEX	MOEX Russia Index	2022-06-20	2358,26	2404,4	2357,33	2404,4	34227692868,45	0	0
IMOEX	MOEX Russia Index	2022-06-21	2407,63	2415,59	2357,27	2358,81	47531716832,35	0	0
IMOEX	MOEX Russia Index	2022-06-22	2348,04	2373,52	2320,87	2373,52	43293077659,95	0	0
IMOEX	MOEX Russia Index	2022-06-23	2375,6	2404,54	2350,1	2404,54	48779605043,7	0	0
IMOEX	MOEX Russia Index	2022-06-24	2405,31	2414,02	2372,05	2391,51	32470388222,9	0	0
IMOEX	MOEX Russia Index	2022-06-27	2387,55	2417,06	2384,32	2417,06	32260073730,15	0	0
IMOEX	MOEX Russia Index	2022-06-28	2419,15	2419,81	2392,26	2408,75	43643513132,7	0	0
IMOEX	MOEX Russia Index	2022-06-29	2407,49	2407,49	2370,41	2378,55	39630917157,45	0	0
IMOEX	MOEX Russia Index	2022-06-30	2380,03	2407,2	2184,71	2204,85	112712384216,9	0	0
IMOEX	MOEX Russia Index	2022-07-01	2197,9	2237,92	2165,13	2206,61	51706511774,9	0	0
IMOEX	MOEX Russia Index	2022-07-04	2208,7	2240,83	2197,39	2204,66	39025784884,65	0	0
IMOEX	MOEX Russia Index	2022-07-05	2214,39	2238,73	2187,57	2226,64	46917603887,65	0	0
IMOEX	MOEX Russia Index	2022-07-06	2227,02	2273,24	2214,04	2221,88	42030318167,35	0	0
IMOEX	MOEX Russia Index	2022-07-07	2221,02	2239,59	2206,16	2226,65	29779918346,8	0	0
IMOEX	MOEX Russia Index	2022-07-08	2225,02	2234,55	2202,52	2222,51	22404447211,4	0	0
IMOEX	MOEX Russia Index	2022-07-11	2213,55	2224,35	2156,36	2162,34	30424271677,8	0	0
